,biase,yan1,yan2,goolam,deng1,deng2,pollen,kolodziejczyk,patel,fan,treutlein
1,0.948262859,0.65843063,0.654933053,0.544093639,0.657583098,0.665889578,0.95805826,0.14736574,0.989091648,0.344178349,0.657905152
2,0.948262859,0.65843063,0.654933053,0.544093639,0.657583098,0.665889578,0.95805826,0.14736574,0.989091648,0.344178349,0.657905152
3,0.948262859,0.65843063,0.654933053,0.544093639,0.660456392,0.665889578,0.95805826,0.14736574,0.989091648,0.344178349,0.657905152
4,0.948262859,0.65843063,0.654933053,0.544093639,0.657583098,0.665889578,0.958286205,0.14736574,0.989091648,0.344178349,0.657905152
5,0.948262859,0.65843063,0.654933053,0.687444715,0.657583098,0.665889578,0.95805826,0.433813559,0.989091648,0.344178349,0.657905152
6,0.948262859,0.65843063,0.654933053,0.544093639,0.657583098,0.665889578,0.958286205,0.14736574,0.989091648,0.344178349,0.657905152
7,0.948262859,0.65843063,0.654933053,0.544093639,0.657583098,0.665889578,0.958286205,0.14736574,0.989091648,0.344178349,0.657905152
8,0.948262859,0.65843063,0.654933053,0.544093639,0.657583098,0.665889578,0.95805826,0.14736574,0.989091648,0.344178349,0.657905152
9,0.948262859,0.65843063,0.654933053,0.544093639,0.660456392,0.665889578,0.958286205,0.14736574,0.989091648,0.344178349,0.657905152
10,0.948262859,0.65843063,0.654933053,0.544093639,0.657583098,0.665889578,0.958286205,0.433813559,0.989091648,0.344178349,0.657905152
11,0.948262859,0.65843063,0.654933053,0.544093639,0.657583098,0.665889578,0.95805826,0.433813559,0.989091648,0.344178349,0.657905152
12,0.948262859,0.65843063,0.654933053,0.544093639,0.657583098,0.665889578,0.95805826,0.433813559,0.989091648,0.344178349,0.657905152
13,0.948262859,0.65843063,0.654933053,0.544093639,0.654524315,0.779045477,0.95805826,0.14736574,0.989091648,0.344178349,0.657905152
14,0.948262859,0.65843063,0.654933053,0.544093639,0.657583098,0.665889578,0.95805826,0.433813559,0.989091648,0.344178349,0.657905152
15,0.948262859,0.65843063,0.654933053,0.544093639,0.657583098,0.665889578,0.95805826,0.433813559,0.989091648,0.344178349,0.657905152
16,0.948262859,0.65843063,0.654933053,0.544093639,0.657583098,0.665889578,0.95805826,0.14736574,0.989091648,0.344178349,0.657905152
17,0.948262859,0.65843063,0.654933053,0.544093639,0.646171236,0.665889578,0.95805826,0.14736574,0.989091648,0.344178349,0.657905152
18,0.948262859,0.65843063,0.654933053,0.544093639,0.657583098,0.665889578,0.95805826,0.14736574,0.989091648,0.344178349,0.657905152
19,0.948262859,0.65843063,0.654933053,0.544093639,0.657583098,0.779045477,0.95805826,0.14736574,0.989091648,0.344178349,0.657905152
20,0.948262859,0.65843063,0.654933053,0.544093639,0.657583098,0.665889578,0.958286205,0.14736574,0.989091648,0.344178349,0.657905152
