,biase,yan1,yan2,goolam,deng1,deng2,pollen,kolodziejczyk,patel,fan,treutlein
1,0.948262859,0.802876152,0.74207714,0.509871725,0.41171086,0.599466088,0.930804088,0.145476696,0.520846092,0.12461797,0.387807026
2,0.948262859,0.802876152,0.878752774,0.518206551,0.420851753,0.445044958,0.879070048,0.302565478,0.484066689,0.034535273,0.353759097
3,0.948262859,0.685888512,0.878752774,0.435101201,0.336149899,0.521006116,0.843310672,0.391716178,0.505172768,0.022687385,0.368783696
4,0.948262859,0.802876152,0.74207714,0.707843728,0.408667395,0.48668737,0.843002311,0.295277175,0.681793786,0.12461797,0.38810677
5,0.948262859,0.802876152,0.74207714,0.66103175,0.571361808,0.447413365,0.943911377,0.305080329,0.714320151,0.100786182,0.483383067
6,0.948262859,0.802876152,0.748935657,0.562970867,0.315052975,0.415819857,0.8790785,0.302565478,0.581651628,0.066451958,0.343489084
7,0.948262859,0.802876152,0.74207714,0.672380613,0.564662843,0.446423577,0.758011938,0.299326919,0.723434924,0.085705656,0.424081621
8,0.948262859,0.674358384,0.74207714,0.567201151,0.372107522,0.372141503,0.954373772,0.14260539,0.457817682,0.034535273,0.52770296
9,0.948262859,0.802876152,0.74207714,0.58382105,0.408454343,0.456311626,0.894944896,0.302565478,0.481898232,0.034535273,0.280405451
10,0.948262859,0.802876152,0.878752774,0.586894514,0.399209695,0.399232956,0.887341208,0.302565478,0.521505947,0.030251513,0.156832832
11,0.948262859,0.802876152,0.74207714,0.507494133,0.432711204,0.384247341,0.843310672,0.299058844,0.540469022,0.034535273,0.47034252
12,0.948262859,0.802876152,0.74207714,0.635221036,0.447939287,0.513188622,0.84525324,0.561373995,0.794378744,0.030251513,0.445087327
13,0.948262859,0.802876152,0.727342379,0.689332757,0.427180635,0.494215397,0.843310672,0.29702317,0.61016748,0.034535273,0.208345377
14,0.948262859,0.802876152,0.74207714,0.464358126,0.369416674,0.399349943,0.840427743,0.577649801,0.506353022,0.097095061,0.262573007
15,0.948262859,0.802876152,0.608566132,0.630022659,0.420966913,0.385756195,0.862853261,0.146851328,0.392704746,0.033489218,0.335908907
16,0.948262859,0.802876152,0.74207714,0.711592717,0.363321901,0.391451328,0.838182054,0.430679502,0.702044065,0.029289197,0.395950748
17,0.948262859,0.802876152,0.608566132,0.240960206,0.429573158,0.463457262,0.886190792,0.302565478,0.59414609,0.034535273,0.208345377
18,0.948262859,0.802876152,0.74207714,0.544760944,0.412922767,0.37327714,0.84826185,0.194015399,0.618337834,0.08238345,0.458388561
19,0.948262859,0.802876152,0.608566132,0.685932697,0.419090225,0.374955568,0.837936458,0.303454507,0.642324192,0.030251513,0.353062199
20,0.948262859,0.802876152,0.74207714,0.675048426,0.421334692,0.547210864,0.920936965,0.146851328,0.544882847,0.033489218,0.385494049
21,0.948262859,0.802876152,0.837093845,0.574449808,0.402715767,0.487208036,0.880761845,0.389489413,0.464576201,0.034535273,0.324212143
22,0.948262859,0.802876152,0.74207714,0.38677911,0.421876471,0.430680913,0.864074909,0.302565478,0.592008328,0.071075542,0.497448226
23,0.678272981,0.802876152,0.74207714,0.75587682,0.51216289,0.422432598,0.890929006,0.595899037,0.513341462,0.034535273,0.473278086
24,0.948262859,0.867085629,0.878752774,0.838712216,0.420851753,0.491586839,0.944755415,0.551914852,0.671216664,-0.054154021,0.236529323
25,0.948262859,0.802876152,0.608566132,0.536795672,0.438646265,0.380857337,0.878246224,0.305080329,0.554109333,0.100786182,0.254314337
26,0.948262859,0.685888512,0.878752774,0.658834089,0.408286522,0.413264417,0.852437316,0.596674919,0.611915035,0.033489218,0.359616961
27,0.948262859,0.802876152,0.74207714,0.584091522,0.421812785,0.44084412,0.840323256,0.302565478,0.809698563,0.034535273,0.370663313
28,0.948262859,0.802876152,0.540775469,0.544488284,0.368300704,0.339346754,0.842212462,0.292961347,0.574268543,0.030251513,0.365064878
29,0.948262859,0.802876152,0.878752774,0.58382105,0.430266456,0.505235669,0.845072979,0.302565478,0.887710622,0.034535273,0.370822787
30,0.948262859,0.867085629,0.74207714,0.624939217,0.439575161,0.439104137,0.858136484,0.302565478,0.556445854,0.034535273,0.157915083
31,0.948262859,0.802876152,0.74207714,0.544093639,0.406215804,0.353891626,0.85933367,0.596674919,0.651227231,0.030251513,0.486993498
